PostCode,Gender,ModuleCode
TS13,F,69
256,M,68
2650-323,M,68
3145,F,68
600012,M,68
BR2,M,68
CA17,M,68
CB3,M,68
DE13,F,68
EX2,M,68
HU18,F,68
LS27,F,68
NE16,F,68
NE20,F,68
PR4,F,68
WA11,F,68
YO61,M,68
102200,F,67
920057,M,67
BB11,M,67
GU21,F,67
HP22,M,67
HP8,M,67
NE62,F,67
SN13,F,67
ST19,F,67
WV16,F,67
3760,F,66
51503,M,66
AL4,M,66
BS25,F,66
EN4,M,66
GL2,F,66
GL5,M,66
HD2,M,66
HD4,F,66
HU15,F,66
LA23,F,66
LE12,M,66
LS13,M,66
NN3,F,66
PE37,M,66
RM14,M,66
WF11,F,66
WF14,F,66
WF15,F,66
1395,F,65
250063,M,65
300221,M,65
BA8,F,65
BB11,F,65
BT52,F,65
DN20,M,65
DN37,F,65
HD6,M,65
HU20,F,65
N18,M,65
SY11,F,65
TD9,M,65
WS14,F,65
YO13,M,65
CH44,M,64
CT4,F,64
HP21,F,64
LE67,M,64
LN4,F,64
PR4,M,64
100048,M,63
EX1,M,63
LS6,M,63
PO4,M,63
SE21,M,63
S71,M,62
YO18,F,62
DE65,M,60
GU35,M,60
LA1,M,59
LS9,F,59
YO17,F,59
YO25,M,59
B37,F,58
BN18,F,58
DL11,M,58
DN11,M,58
DY8,F,58
HU6,M,58
LE8,M,58
LN6,F,58
LS8,F,58
NE29,M,58
SE6,M,58
SO19,M,58
TW20,F,58
29630,M,57
CA3,M,57
EX4,M,57
NE19,M,57
SS7,M,57
L31,M,56
LA9,F,56
NE24,F,56
NE26,M,56
BT38,F,55
HU16,F,55
N5,M,55
SP4,F,55
B43,M,54
BT5,M,54
NE63,M,53
SY24,M,53
102606,M,51
11900,F,51
DN8,F,51
GL8,M,51
TF8,M,51
TS28,M,51
68000,F,50
DN6,M,50
NE17,M,50
77145,M,49
92024,M,49
BT27,M,49
CO16,M,49
CO3,M,49
DA6,M,49
HP16,M,49
HX7,F,49
L8,F,49
LL28,M,49
LT-76345,M,49
MK14,M,49
N16,F,49
NR28,F,49
NW6,M,49
RH12,F,49
SA16,F,49
SL6,F,49
W5,M,49
W9,F,49
230001,M,48
64008,M,48
BD10,M,48
HA8,F,48
HU17,F,48
NN10,F,48
RM9,M,48
BL9,M,47
HG1,M,47
DN31,M,46
M31,M,46
WV14,M,46
YO14,F,46
10510,M,45
BN18,M,45
LS16,F,45
SW2,M,45
CF39,F,44
IP11,M,44
PR3,F,44
LT-53301,M,43
NE4,M,43
3085,F,41
DN17,F,41
NE126FP,M,41
S44,M,41
EX4,F,40
CM0,M,38
WA2,F,37
BA12,F,36
CV11,F,36
BT41,F,34
B65,F,28
GL6,F,28
M34,F,28
YO21,F,28
YO30,M,28
S81,F,27
IP33,M,26
LA7,F,25
SS13,M,25
BT62,M,24
CV2,F,24
HA9,M,24
ST18,F,18
NN10,M,14
BD10,F,11
CA6,F,8
S40,M,7
3311JT,M,6
SG4,F,6
B23,F,5
LD3,F,5
CW11,M,3
YO11,M,3
W1H,M,1
YO42,M,1
